Seq_ID                                         	HCA    	Disord 	Aggreg 
NC_000913.3_+_29137-29226_0_nc_intergenic      	7.970  	nan    	nan    	
NC_000913.3_-_29182-29271_1_nc_intergenic      	1.970  	nan    	nan    	
NC_000913.3_+_29356-29445_0_nc_intergenic      	6.030  	nan    	nan    	
NC_000913.3_-_29392-29457_1_nc_intergenic      	-4.480 	nan    	nan    	
NC_000913.3_-_29458-29589_1_nc_intergenic      	6.670  	nan    	nan    	
NC_000913.3_+_29527-29622_0_nc_intergenic      	3.810  	nan    	nan    	
NC_000913.3_-_29608-29694_1_nc_intergenic      	-4.460 	nan    	nan    	
NC_000913.3_+_34090-34167_0_nc_intergenic      	7.880  	nan    	nan    	
NC_000913.3_-_34675-34749_1_nc_intergenic      	-5.120 	nan    	nan    	
NC_000913.3_+_36154-36228_0_nc_intergenic      	2.880  	nan    	nan    	
NC_000913.3_+_37801-37887_0_nc_intergenic      	2.500  	nan    	nan    	
NC_000913.3_-_37867-37968_1_nc_intergenic      	-1.120 	nan    	nan    	
NC_000913.3_-_41935-41997_1_nc_intergenic      	0.700  	nan    	nan    	
NC_000913.3_+_42103-42165_0_nc_intergenic      	8.350  	nan    	nan    	
NC_000913.3_-_42121-42279_1_nc_intergenic      	-0.400 	nan    	nan    	
NC_000913.3_-_42331-42471_1_nc_intergenic      	4.370  	nan    	nan    	
NC_000913.3_+_44122-44199_0_nc_intergenic      	1.600  	nan    	nan    	
NC_000913.3_-_44026-44328_1_nc_intergenic      	-4.170 	nan    	nan    	
NC_000913.3_+_47113-47178_0_nc_intergenic      	3.860  	nan    	nan    	
NC_000913.3_-_47179-47259_1_nc_intergenic      	3.350  	nan    	nan    	
NC_000913.3_+_47194-47298_0_nc_intergenic      	2.030  	nan    	nan    	
NC_000913.3_+_49642-49734_0_nc_intergenic      	0.370  	nan    	nan    	
NC_000913.3_-_49648-49806_1_nc_intergenic      	-1.440 	nan    	nan    	
NC_000913.3_+_51061-51546_0_nc_intergenic      	1.350  	nan    	nan    	
NC_000913.3_-_54715-54825_1_nc_intergenic      	6.720  	nan    	nan    	
NC_000913.3_+_54571-54849_0_nc_intergenic      	-0.920 	nan    	nan    	
NC_000913.3_+_56953-57192_0_nc_intergenic      	0.570  	nan    	nan    	
NC_000913.3_-_57184-57261_1_nc_intergenic      	4.040  	nan    	nan    	
NC_000913.3_-_57262-57402_1_nc_intergenic      	1.850  	nan    	nan    	
NC_000913.3_-_58234-58368_1_nc_intergenic      	-1.570 	nan    	nan    	
NC_000913.3_+_58246-58404_0_nc_intergenic      	-1.080 	nan    	nan    	
NC_000913.3_-_58369-58449_1_nc_intergenic      	4.080  	nan    	nan    	
NC_000913.3_+_59266-59334_0_nc_intergenic      	1.550  	nan    	nan    	
NC_000913.3_-_59281-59364_1_nc_intergenic      	0.000  	nan    	nan    	
NC_000913.3_+_59347-59442_0_nc_intergenic      	-0.520 	nan    	nan    	
NC_000913.3_-_59377-59442_1_nc_intergenic      	6.620  	nan    	nan    	
NC_000913.3_+_59494-59577_0_nc_intergenic      	0.150  	nan    	nan    	
NC_000913.3_-_59485-59655_1_nc_intergenic      	2.430  	nan    	nan    	
NC_000913.3_+_59578-59664_0_nc_intergenic      	-7.960 	nan    	nan    	
NC_000913.3_-_63334-63468_1_nc_intergenic      	1.910  	nan    	nan    	
NC_000913.3_+_63289-63528_0_nc_intergenic      	1.320  	nan    	nan    	
NC_000913.3_-_65602-65940_1_nc_intergenic      	-2.730 	nan    	nan    	
NC_000913.3_+_65638-66108_0_nc_intergenic      	-0.150 	nan    	nan    	
NC_000913.3_+_69985-70155_0_nc_intergenic      	-5.800 	nan    	nan    	
NC_000913.3_-_69955-70179_1_nc_intergenic      	5.220  	nan    	nan    	
NC_000913.3_+_70210-70311_0_nc_intergenic      	5.180  	nan    	nan    	
NC_000913.3_-_70267-70452_1_nc_intergenic      	-0.130 	nan    	nan    	
NC_000913.3_+_74311-74868_0_nc_intergenic      	-0.540 	nan    	nan    	
NC_000913.3_+_75478-75621_0_nc_intergenic      	1.260  	nan    	nan    	
NC_000913.3_-_75613-75699_1_nc_intergenic      	0.460  	nan    	nan    	
NC_000913.3_-_77200-77346_1_nc_intergenic      	-1.960 	nan    	nan    	
NC_000913.3_-_77530-77661_1_nc_intergenic      	0.840  	nan    	nan    	
NC_000913.3_+_77488-77748_0_nc_intergenic      	0.370  	nan    	nan    	
NC_000913.3_-_78733-78852_1_nc_intergenic      	-4.030 	nan    	nan    	
NC_000913.3_+_80830-80898_0_nc_intergenic      	0.500  	nan    	nan    	
NC_000913.3_+_81847-82071_0_nc_intergenic      	-1.640 	nan    	nan    	
NC_000913.3_+_83476-83553_0_nc_intergenic      	3.960  	nan    	nan    	
NC_000913.3_+_83704-83829_0_nc_intergenic      	-3.410 	nan    	nan    	
NC_000913.3_-_83746-83886_1_nc_intergenic      	3.930  	nan    	nan    	
NC_000913.3_+_83863-83976_0_nc_intergenic      	5.270  	nan    	nan    	
NC_000913.3_-_83968-84039_1_nc_intergenic      	5.300  	nan    	nan    	
NC_000913.3_+_84142-84291_0_nc_intergenic      	4.490  	nan    	nan    	
NC_000913.3_-_84280-84387_1_nc_intergenic      	5.030  	nan    	nan    	
NC_000913.3_+_84295-84531_0_nc_intergenic      	-0.510 	nan    	nan    	
NC_000913.3_+_85264-85338_0_nc_intergenic      	0.580  	nan    	nan    	
NC_000913.3_+_85420-85485_0_nc_intergenic      	1.050  	nan    	nan    	
NC_000913.3_-_85348-85494_1_nc_intergenic      	1.750  	nan    	nan    	
NC_000913.3_-_85495-85566_1_nc_intergenic      	-6.650 	nan    	nan    	
NC_000913.3_+_87841-87927_0_nc_intergenic      	6.040  	nan    	nan    	
NC_000913.3_-_87700-87942_1_nc_intergenic      	1.400  	nan    	nan    	
NC_000913.3_+_87961-88041_0_nc_intergenic      	-0.380 	nan    	nan    	
NC_000913.3_-_87973-88080_1_nc_intergenic      	0.540  	nan    	nan    	
NC_000913.3_-_89029-89148_1_nc_intergenic      	2.410  	nan    	nan    	
NC_000913.3_+_89194-89259_0_nc_intergenic      	7.670  	nan    	nan    	
NC_000913.3_+_89260-89331_0_nc_intergenic      	-5.830 	nan    	nan    	
NC_000913.3_-_89194-89379_1_nc_intergenic      	2.080  	nan    	nan    	
NC_000913.3_-_89380-89442_1_nc_intergenic      	-3.200 	nan    	nan    	
NC_000913.3_+_89332-89487_0_nc_intergenic      	2.900  	nan    	nan    	
NC_000913.3_-_89461-89526_1_nc_intergenic      	0.100  	nan    	nan    	
NC_000913.3_+_89557-89619_0_nc_intergenic      	3.700  	nan    	nan    	
NC_000913.3_-_89587-89655_1_nc_intergenic      	-6.500 	nan    	nan    	
NC_000913.3_+_95977-96051_0_nc_intergenic      	6.210  	nan    	nan    	
NC_000913.3_+_100687-100761_0_nc_intergenic    	2.120  	nan    	nan    	
NC_000913.3_+_103918-104124_0_nc_intergenic    	-1.970 	nan    	nan    	
NC_000913.3_+_105223-105312_0_nc_intergenic    	-6.720 	nan    	nan    	
NC_000913.3_+_106453-106539_0_nc_intergenic    	8.140  	nan    	nan    	
NC_000913.3_-_106453-106560_1_nc_intergenic    	-2.230 	nan    	nan    	
NC_000913.3_+_107497-107652_0_nc_intergenic    	6.470  	nan    	nan    	
NC_000913.3_-_107446-107745_1_nc_intergenic    	1.960  	nan    	nan    	
NC_000913.3_+_108124-108285_0_nc_intergenic    	-2.020 	nan    	nan    	
NC_000913.3_+_112570-112644_0_nc_intergenic    	8.750  	nan    	nan    	
NC_000913.3_+_113269-113334_0_nc_intergenic    	2.050  	nan    	nan    	
NC_000913.3_-_113308-113373_1_nc_intergenic    	-1.710 	nan    	nan    	
NC_000913.3_-_113392-113541_1_nc_intergenic    	2.730  	nan    	nan    	
NC_000913.3_-_114274-114642_1_nc_intergenic    	-0.430 	nan    	nan    	
NC_000913.3_+_114349-114675_0_nc_intergenic    	-3.190 	nan    	nan    	
NC_000913.3_+_116992-117243_0_nc_intergenic    	1.930  	nan    	nan    	
NC_000913.3_-_117595-117744_1_nc_intergenic    	-0.940 	nan    	nan    	
NC_000913.3_+_117487-117795_0_nc_intergenic    	0.480  	nan    	nan    	
NC_000913.3_-_118663-118785_1_nc_intergenic    	0.150  	nan    	nan    	
NC_000913.3_+_118663-118806_0_nc_intergenic    	2.470  	nan    	nan    	
NC_000913.3_+_120136-120234_0_nc_intergenic    	0.940  	nan    	nan    	
NC_000913.3_+_121522-121629_0_nc_intergenic    	4.340  	nan    	nan    	
NC_000913.3_-_121582-121674_1_nc_intergenic    	-0.270 	nan    	nan    	
NC_000913.3_+_121690-121797_0_nc_intergenic    	-1.710 	nan    	nan    	
NC_000913.3_-_121717-121851_1_nc_intergenic    	6.820  	nan    	nan    	
NC_000913.3_-_121909-121974_1_nc_intergenic    	8.620  	nan    	nan    	
NC_000913.3_+_121906-121980_0_nc_intergenic    	7.750  	nan    	nan    	
NC_000913.3_-_122896-122961_1_nc_intergenic    	2.050  	nan    	nan    	
NC_000913.3_+_122872-123006_0_nc_intergenic    	-3.390 	nan    	nan    	
NC_000913.3_+_127723-127788_0_nc_intergenic    	1.900  	nan    	nan    	
NC_000913.3_-_127747-127992_1_nc_intergenic    	-0.680 	nan    	nan    	
NC_000913.3_+_131263-131346_0_nc_intergenic    	-2.040 	nan    	nan    	
NC_000913.3_-_131257-131382_1_nc_intergenic    	0.930  	nan    	nan    	
NC_000913.3_+_131383-131478_0_nc_intergenic    	0.580  	nan    	nan    	
NC_000913.3_-_131440-131505_1_nc_intergenic    	1.950  	nan    	nan    	
NC_000913.3_+_131488-131634_0_nc_intergenic    	-1.940 	nan    	nan    	
NC_000913.3_+_134239-134331_0_nc_intergenic    	-1.000 	nan    	nan    	
NC_000913.3_-_134209-134331_1_nc_intergenic    	-3.700 	nan    	nan    	
NC_000913.3_+_134332-134427_0_nc_intergenic    	3.810  	nan    	nan    	
NC_000913.3_-_136483-136569_1_nc_intergenic    	1.710  	nan    	nan    	
NC_000913.3_+_136435-136596_0_nc_intergenic    	0.640  	nan    	nan    	
NC_000913.3_-_138616-138708_1_nc_intergenic    	-1.000 	nan    	nan    	
NC_000913.3_+_141196-141282_0_nc_intergenic    	3.110  	nan    	nan    	
NC_000913.3_+_141319-141402_0_nc_intergenic    	1.520  	nan    	nan    	
NC_000913.3_-_141298-141414_1_nc_intergenic    	-6.450 	nan    	nan    	
NC_000913.3_-_142591-142707_1_nc_intergenic    	-2.920 	nan    	nan    	
NC_000913.3_-_142708-142776_1_nc_intergenic    	5.770  	nan    	nan    	
NC_000913.3_+_143629-143832_0_nc_intergenic    	-1.960 	nan    	nan    	
NC_000913.3_-_144475-144540_1_nc_intergenic    	-7.290 	nan    	nan    	
NC_000913.3_+_144469-144549_0_nc_intergenic    	7.150  	nan    	nan    	
NC_000913.3_-_145042-145140_1_nc_intergenic    	-3.970 	nan    	nan    	
NC_000913.3_-_146791-146937_1_nc_intergenic    	-0.230 	nan    	nan    	
NC_000913.3_-_146938-147015_1_nc_intergenic    	4.760  	nan    	nan    	
NC_000913.3_-_147829-147936_1_nc_intergenic    	2.690  	nan    	nan    	
NC_000913.3_+_149617-149679_0_nc_intergenic    	8.400  	nan    	nan    	
NC_000913.3_-_149644-149706_1_nc_intergenic    	2.600  	nan    	nan    	
NC_000913.3_-_150901-151002_1_nc_intergenic    	2.360  	nan    	nan    	
NC_000913.3_+_150847-151026_0_nc_intergenic    	3.690  	nan    	nan    	
NC_000913.3_+_156172-156249_0_nc_intergenic    	-1.560 	nan    	nan    	
NC_000913.3_-_156271-156333_1_nc_intergenic    	2.550  	nan    	nan    	
NC_000913.3_+_156970-157053_0_nc_intergenic    	3.590  	nan    	nan    	
NC_000913.3_-_157003-157068_1_nc_intergenic    	-5.430 	nan    	nan    	
NC_000913.3_+_157678-157791_0_nc_intergenic    	0.490  	nan    	nan    	
NC_000913.3_+_160537-160656_0_nc_intergenic    	1.440  	nan    	nan    	
NC_000913.3_-_160582-160761_1_nc_intergenic    	0.830  	nan    	nan    	
NC_000913.3_+_160726-160845_0_nc_intergenic    	0.440  	nan    	nan    	
NC_000913.3_+_161449-161577_0_nc_intergenic    	1.070  	nan    	nan    	
NC_000913.3_+_162004-162180_0_nc_intergenic    	5.410  	nan    	nan    	
NC_000913.3_-_164395-164784_1_nc_intergenic    	-0.190 	nan    	nan    	
NC_000913.3_+_164455-164799_0_nc_intergenic    	-6.420 	nan    	nan    	
NC_000913.3_-_167329-167469_1_nc_intergenic    	2.720  	nan    	nan    	
NC_000913.3_+_167362-167541_0_nc_intergenic    	2.760  	nan    	nan    	
NC_000913.3_-_169660-169761_1_nc_intergenic    	-8.240 	nan    	nan    	
NC_000913.3_+_169567-169824_0_nc_intergenic    	2.580  	nan    	nan    	
NC_000913.3_-_173413-173487_1_nc_intergenic    	-5.960 	nan    	nan    	
NC_000913.3_-_174994-175071_1_nc_intergenic    	4.800  	nan    	nan    	
NC_000913.3_+_174637-175095_0_nc_intergenic    	1.610  	nan    	nan    	
NC_000913.3_+_176413-176613_0_nc_intergenic    	-1.170 	nan    	nan    	
NC_000913.3_+_177565-177711_0_nc_intergenic    	-0.650 	nan    	nan    	
NC_000913.3_+_179182-179250_0_nc_intergenic    	-2.910 	nan    	nan    	
NC_000913.3_-_180709-180816_1_nc_intergenic    	3.370  	nan    	nan    	
NC_000913.3_+_180808-180966_0_nc_intergenic    	1.600  	nan    	nan    	
NC_000913.3_+_182230-182361_0_nc_intergenic    	-5.490 	nan    	nan    	
NC_000913.3_-_182290-182364_1_nc_intergenic    	-1.040 	nan    	nan    	
NC_000913.3_-_182389-182460_1_nc_intergenic    	6.910  	nan    	nan    	
NC_000913.3_+_182362-182547_0_nc_intergenic    	2.130  	nan    	nan    	
NC_000913.3_+_183547-183675_0_nc_intergenic    	2.880  	nan    	nan    	
NC_000913.3_-_183622-183690_1_nc_intergenic    	-2.050 	nan    	nan    	
NC_000913.3_-_184129-184197_1_nc_intergenic    	-4.680 	nan    	nan    	
NC_000913.3_+_184138-184338_0_nc_intergenic    	-1.210 	nan    	nan    	
NC_000913.3_-_184201-184380_1_nc_intergenic    	0.200  	nan    	nan    	
NC_000913.3_+_185005-185151_0_nc_intergenic    	0.150  	nan    	nan    	
NC_000913.3_-_184987-185364_1_nc_intergenic    	1.820  	nan    	nan    	
NC_000913.3_+_185929-186000_0_nc_intergenic    	8.700  	nan    	nan    	
NC_000913.3_-_189409-189588_1_nc_intergenic    	-2.440 	nan    	nan    	
NC_000913.3_-_189589-189672_1_nc_intergenic    	3.630  	nan    	nan    	
NC_000913.3_+_190627-190731_0_nc_intergenic    	-1.380 	nan    	nan    	
NC_000913.3_-_190675-190770_1_nc_intergenic    	0.550  	nan    	nan    	
NC_000913.3_-_190771-190851_1_nc_intergenic    	-7.770 	nan    	nan    	
NC_000913.3_+_190732-190884_0_nc_intergenic    	2.000  	nan    	nan    	
NC_000913.3_-_191623-191766_1_nc_intergenic    	-2.190 	nan    	nan    	
NC_000913.3_+_191791-191883_0_nc_intergenic    	3.700  	nan    	nan    	
NC_000913.3_-_192418-192651_1_nc_intergenic    	-0.440 	nan    	nan    	
NC_000913.3_+_192619-192753_0_nc_intergenic    	-2.500 	nan    	nan    	
NC_000913.3_-_192673-192759_1_nc_intergenic    	0.320  	nan    	nan    	
NC_000913.3_-_192760-193002_1_nc_intergenic    	0.640  	nan    	nan    	
NC_000913.3_-_193339-193503_1_nc_intergenic    	-6.060 	nan    	nan    	
NC_000913.3_+_193438-193524_0_nc_intergenic    	5.360  	nan    	nan    	
NC_000913.3_-_194857-194919_1_nc_intergenic    	-0.250 	nan    	nan    	
NC_000913.3_-_195544-195903_1_nc_intergenic    	-5.750 	nan    	nan    	
NC_000913.3_-_200338-200493_1_nc_intergenic    	4.470  	nan    	nan    	
NC_000913.3_+_201997-202104_0_nc_intergenic    	3.770  	nan    	nan    	
NC_000913.3_-_201877-202104_1_nc_intergenic    	0.130  	nan    	nan    	
NC_000913.3_-_202480-202719_1_nc_intergenic    	-2.860 	nan    	nan    	
NC_000913.3_-_204433-204558_1_nc_intergenic    	0.980  	nan    	nan    	
NC_000913.3_-_204835-205365_1_nc_intergenic    	1.610  	nan    	nan    	
NC_000913.3_-_209533-209622_1_nc_intergenic    	3.380  	nan    	nan    	
NC_000913.3_+_209581-209682_0_nc_intergenic    	-1.120 	nan    	nan    	
NC_000913.3_-_209623-209685_1_nc_intergenic    	0.650  	nan    	nan    	
NC_000913.3_+_214108-214185_0_nc_intergenic    	2.440  	nan    	nan    	
NC_000913.3_+_214186-214272_0_nc_intergenic    	2.460  	nan    	nan    	
NC_000913.3_-_214216-214389_1_nc_intergenic    	1.300  	nan    	nan    	
NC_000913.3_-_215116-215565_1_nc_intergenic    	0.770  	nan    	nan    	
NC_000913.3_+_216931-217035_0_nc_intergenic    	0.260  	nan    	nan    	
NC_000913.3_+_218845-218958_0_nc_intergenic    	-2.140 	nan    	nan    	
NC_000913.3_+_219916-220083_0_nc_intergenic    	-1.200 	nan    	nan    	
NC_000913.3_-_220024-220122_1_nc_intergenic    	3.220  	nan    	nan    	
NC_000913.3_+_220084-220164_0_nc_intergenic    	-2.580 	nan    	nan    	
NC_000913.3_+_220858-221013_0_nc_intergenic    	-1.270 	nan    	nan    	
NC_000913.3_-_222670-222741_1_nc_intergenic    	1.000  	nan    	nan    	
NC_000913.3_+_222649-222801_0_nc_intergenic    	1.620  	nan    	nan    	
NC_000913.3_-_222757-222888_1_nc_intergenic    	5.400  	nan    	nan    	
NC_000913.3_+_223420-223503_0_nc_intergenic    	-2.070 	nan    	nan    	
NC_000913.3_-_223225-223509_1_nc_intergenic    	-1.740 	nan    	nan    	
NC_000913.3_+_223504-223611_0_nc_intergenic    	0.600  	nan    	nan    	
NC_000913.3_-_223510-223632_1_nc_intergenic    	5.120  	nan    	nan    	
NC_000913.3_+_223612-223704_0_nc_intergenic    	-0.330 	nan    	nan    	
NC_000913.3_-_223681-223938_1_nc_intergenic    	3.210  	nan    	nan    	
NC_000913.3_+_225319-225390_0_nc_intergenic    	-3.350 	nan    	nan    	
NC_000913.3_-_225310-225399_1_nc_intergenic    	4.170  	nan    	nan    	
NC_000913.3_-_225511-225603_1_nc_intergenic    	-2.970 	nan    	nan    	
NC_000913.3_-_225658-225768_1_nc_intergenic    	5.670  	nan    	nan    	
NC_000913.3_+_225682-225810_0_nc_intergenic    	0.240  	nan    	nan    	
NC_000913.3_+_228652-228720_0_nc_intergenic    	0.640  	nan    	nan    	
NC_000913.3_-_229024-229131_1_nc_intergenic    	0.540  	nan    	nan    	
NC_000913.3_-_229936-230001_1_nc_intergenic    	-5.330 	nan    	nan    	
NC_000913.3_+_230824-230967_0_nc_intergenic    	1.850  	nan    	nan    	
NC_000913.3_-_230938-231135_1_nc_intergenic    	5.860  	nan    	nan    	
NC_000913.3_+_232540-232725_0_nc_intergenic    	2.410  	nan    	nan    	
NC_000913.3_+_235465-235641_0_nc_intergenic    	0.780  	nan    	nan    	
NC_000913.3_-_235987-236064_1_nc_intergenic    	6.360  	nan    	nan    	
NC_000913.3_+_236809-236877_0_nc_intergenic    	-2.050 	nan    	nan    	
NC_000913.3_+_236878-236940_0_nc_intergenic    	-4.200 	nan    	nan    	
NC_000913.3_-_236854-236949_1_nc_intergenic    	-0.100 	nan    	nan    	
NC_000913.3_+_237076-237150_0_nc_intergenic    	6.000  	nan    	nan    	
NC_000913.3_+_237214-237276_0_nc_intergenic    	8.350  	nan    	nan    	
NC_000913.3_+_237277-237399_0_nc_intergenic    	6.450  	nan    	nan    	
NC_000913.3_-_238114-238227_1_nc_intergenic    	7.810  	nan    	nan    	
NC_000913.3_+_238108-238326_0_nc_intergenic    	5.100  	nan    	nan    	
NC_000913.3_+_238597-238878_0_nc_intergenic    	3.820  	nan    	nan    	
NC_000913.3_+_239113-239190_0_nc_intergenic    	-1.440 	nan    	nan    	
NC_000913.3_-_239059-239259_1_nc_intergenic    	2.620  	nan    	nan    	
NC_000913.3_-_239290-239418_1_nc_intergenic    	-2.670 	nan    	nan    	
NC_000913.3_+_240073-240297_0_nc_intergenic    	0.260  	nan    	nan    	
NC_000913.3_-_240250-240435_1_nc_intergenic    	0.770  	nan    	nan    	
NC_000913.3_+_243238-243345_0_nc_intergenic    	-8.340 	nan    	nan    	
NC_000913.3_+_243379-243462_0_nc_intergenic    	8.000  	nan    	nan    	
NC_000913.3_+_243463-243531_0_nc_intergenic    	6.730  	nan    	nan    	
NC_000913.3_-_245830-245910_1_nc_intergenic    	3.500  	nan    	nan    	
NC_000913.3_+_245791-245982_0_nc_intergenic    	2.670  	nan    	nan    	
NC_000913.3_-_245911-245994_1_nc_intergenic    	-4.260 	nan    	nan    	
NC_000913.3_-_246457-246597_1_nc_intergenic    	3.480  	nan    	nan    	
NC_000913.3_+_248314-248451_0_nc_intergenic    	-3.560 	nan    	nan    	
NC_000913.3_-_249964-250149_1_nc_intergenic    	-0.750 	nan    	nan    	
NC_000913.3_+_251917-252024_0_nc_intergenic    	0.940  	nan    	nan    	
NC_000913.3_-_252997-253236_1_nc_intergenic    	5.040  	nan    	nan    	
NC_000913.3_+_253261-253326_0_nc_intergenic    	3.900  	nan    	nan    	
NC_000913.3_-_253237-253329_1_nc_intergenic    	-3.500 	nan    	nan    	
NC_000913.3_-_253396-253515_1_nc_intergenic    	1.360  	nan    	nan    	
NC_000913.3_+_253408-253554_0_nc_intergenic    	4.210  	nan    	nan    	
NC_000913.3_+_254233-254307_0_nc_intergenic    	1.420  	nan    	nan    	
NC_000913.3_-_255718-255825_1_nc_intergenic    	3.890  	nan    	nan    	
NC_000913.3_+_255703-255876_0_nc_intergenic    	-3.190 	nan    	nan    	
NC_000913.3_-_255826-255903_1_nc_intergenic    	-3.000 	nan    	nan    	
NC_000913.3_+_256384-256476_0_nc_intergenic    	0.370  	nan    	nan    	
NC_000913.3_-_256441-256557_1_nc_intergenic    	0.740  	nan    	nan    	
NC_000913.3_+_257689-257826_0_nc_intergenic    	1.670  	nan    	nan    	
NC_000913.3_-_257779-257865_1_nc_intergenic    	7.360  	nan    	nan    	
NC_000913.3_+_260254-260340_0_nc_intergenic    	-5.180 	nan    	nan    	
NC_000913.3_-_260194-260355_1_nc_intergenic    	4.700  	nan    	nan    	
NC_000913.3_+_261481-261546_0_nc_intergenic    	-10.000	nan    	nan    	
NC_000913.3_-_262738-262881_1_nc_intergenic    	4.960  	nan    	nan    	
NC_000913.3_+_262843-262908_0_nc_intergenic    	3.950  	nan    	nan    	
NC_000913.3_-_297199-297279_1_nc_intergenic    	5.620  	nan    	nan    	
NC_000913.3_-_297280-297357_1_nc_intergenic    	1.640  	nan    	nan    	
NC_000913.3_+_297259-297384_0_nc_intergenic    	-3.410 	nan    	nan    	
NC_000913.3_+_298669-298779_0_nc_intergenic    	0.780  	nan    	nan    	
NC_000913.3_-_298630-298839_1_nc_intergenic    	-2.710 	nan    	nan    	
NC_000913.3_+_300844-301065_0_nc_intergenic    	-0.680 	nan    	nan    	
NC_000913.3_+_301582-302028_0_nc_intergenic    	1.870  	nan    	nan    	
NC_000913.3_+_302452-302628_0_nc_intergenic    	2.070  	nan    	nan    	
NC_000913.3_-_302542-302670_1_nc_intergenic    	-3.120 	nan    	nan    	
NC_000913.3_-_302677-302760_1_nc_intergenic    	2.930  	nan    	nan    	
NC_000913.3_+_302713-302787_0_nc_intergenic    	2.920  	nan    	nan    	
NC_000913.3_+_302863-302988_0_nc_intergenic    	5.150  	nan    	nan    	
NC_000913.3_-_302923-303045_1_nc_intergenic    	3.050  	nan    	nan    	
NC_000913.3_-_303559-303645_1_nc_intergenic    	2.360  	nan    	nan    	
NC_000913.3_-_303706-303837_1_nc_intergenic    	-1.090 	nan    	nan    	
NC_000913.3_+_303652-303858_0_nc_intergenic    	2.530  	nan    	nan    	
NC_000913.3_+_304318-304392_0_nc_intergenic    	3.620  	nan    	nan    	
NC_000913.3_-_304198-304404_1_nc_intergenic    	0.030  	nan    	nan    	
NC_000913.3_+_304393-304461_0_nc_intergenic    	2.320  	nan    	nan    	
NC_000913.3_+_310048-310146_0_nc_intergenic    	-5.750 	nan    	nan    	
NC_000913.3_+_311320-311382_0_nc_intergenic    	7.500  	nan    	nan    	
