Seq_ID                    	HCA    	Disord 	Aggreg 	HCA_seq
cds-NP_414574.1           	1.220  	0.011  	0.051  	......1001111....11100010101.............101111.....................1010110011.................1010101....1100101011...............1010100101......10001000101000101.......................10011000101.....111000110100101011......111110100100101..........................101100101......10101......111101..................100100010101010011001............10111001..101001......10001001001101.......1000100101................10010001.......111100010001010011010010011110100110100010010100100011001.........1001001....1001000101..110010010001.....1110010001....................100010101111000101....10011101....10001..........101001101101.....11101.....1010001.......................1000100101.......10010101......................10111....10011000101.....111001100010101001100011110011001................1010001001100010010101010011010101....111101..................100100011.........100011..110100111.....................110100010001............................110100011000101..................11001......10001....10111...................101010100010001000101.......11010010001.	
cds-NP_414576.4           	2.900  	0.069  	0.176  	110011...1111100111....1110001010101.....100101110010010101011........10100110110100011001..............................101110001..	
cds-NP_414577.2           	0.910  	0.122  	0.087  	1011010011.............11100111000111..1001000100111.....10001110011................1100111....11010011100011....110010110001.......................101001....100110010101..........................	
cds-NP_414578.2           	0.060  	0.054  	0.092  	1000101.....110101.............1010011101.....101011......11000101.................1001001101...1100100101000101010001111................................1100111..........1010110011...........100011....1010010011.......1000101100011001...........................	
cds-NP_414579.4           	1.790  	0.023  	0.141  	........100110010011.............11001011010001.....1110101.....10101001..1111110100100111.1000111.......................11001.......10011100101.....1001001..................................111001010100110010101....111011..10101010001001.....1111001....1100100100010011.11100111...........1001111101.......11001010110010100011011............100101110001............100111001....1100111...........................111110001011......1011010011.....1001111010001....1001111..........11011000100101..11010001...1000110001.	
cds-NP_414580.1           	1.590  	0.081  	0.044  	...........1001011100101...100011001000111100101000101...........100101011.......11011...................1000111.....111001001001..........1001000100111.............100011001......1001001........101011011101001111011...............11001011010001111011010010011001010011..........1100101....1100010011....100100010010101001101..............1001001....................11001.........1100101....100110001001..	
cds-NP_414581.1           	2.400  	0.013  	0.092  	10101.....1110010011....10011001.........110010010100111......100011010011101001....111101...10011.......1001101......110001........10010001.......................11111..........110011101....10100100101010011010100101............10010001....111010010001101..........101000100101100010010101001001110001.............110111....1011000101100101.....1001100101001......10110100011001.	
cds-NP_414582.1           	3.970  	0.012  	0.506  	..................111101111101001....1110011011001101010111111110111111...................111111001....1111001011111................1010101101....10010110101011111001011.................110011001111011101000101...110011011101...101001110111110011101010001010001001101111011111....11101100010111111..................10111101111101010111001.....100111011101....1111011....11110001101..110010100011001001......1101111111001011001010101001001.......111010101110110111101001..1000110001.1111011101011.........	
cds-NP_414583.2           	-0.360 	0.020  	0.086  	1011011011.......................100101001000101........100101.....................1111100010001................101111......1100010111001101..1001001101....1010001.............11010001.......10011................................................100100010011	
cds-NP_414584.1           	0.130  	0.058  	0.150  	1001001111................1000100111..........................1100100110001..................11000101010001...............10011100101........101101.................................................111010001.....10100011001000101...............110100111...111010100010011..................11010010110001011..10001..	
cds-NP_414585.1           	1.360  	0.000  	0.121  	100011001110001000100111.........................1100010011........10011.............101011...........1011000100111.........11001010011....................111000100110001010001....10101001101...11000101.................11000111.....101011101001.........11001..............110100011..........11000111......1110101010010101.........11001.........10010001....1001011001........11001..101010001101......1100011.....10110110001001011	
cds-NP_414586.1           	2.290  	0.063  	0.000  	....10101010100101.................10111001............1010100110100101101000100101....1010101.	
cds-NP_414587.1           	4.000  	0.036  	0.447  	......1001010010001111.....11001111110101001...10100011011....100111000110110001....1111011010110100111...101111011101110001.100011001.......10101100111100010011011110100010111......11111100101............100100111011...............10011......11111001101011.1101101...110110101.....100111011111011.............1110010110101011011..1011111101011011......10111.............1011101001001100101.11100101000111000101101110101.......................	
cds-NP_414588.1           	-0.440 	0.034  	0.074  	111111....................1001010011011..10101..................101101..1101110011000101...........11101............................11101011..101010111...........10001101......	
cds-NP_414589.1           	2.670  	0.055  	0.292  	.....11001111........10101010011011100111..101011.....11010010111111110101....1101000110100101111001101111110101010011010101....101001....111001....101111001001.11011...........1001010010100011111110011............10011001011111010111001010101001100111....100010001..10011101111010101010011...101111110111101011111............110111.....101111....10011...1000101010101....111111001....................111001001001000111000101111......1001001010111..................111001......10100110001...........1001101............10001....10100101..........1100101011001011................110011.....................................	
cds-NP_414590.1           	0.740  	0.044  	0.088  	11011001010011010001...................................................10110010001001001..........110011.....1110010001.............10011001..........111011...	
cds-NP_414591.1           	1.180  	0.025  	0.089  	1001110010011001101100101......11100011......101101100100010111....1011011001....................11011................................100010011......1110011001.......100100101100010010111.............................100010101001001........1101000111000101101......................	
cds-NP_414592.1           	-0.540 	0.000  	0.192  	......1110100111..........111010101001....1011001111.......................................10010001011......10101.110101.....	
cds-NP_414593.1           	2.630  	0.051  	0.022  	10001.........1000110001110011001.....................100010010110100010001.................101010010001...1011001.......1110110100010010111000110011.......100101100111011...............100011011........1001011001...........1000100110101100101........1010011010011.........	
cds-NP_414594.1           	-0.440 	0.021  	0.109  	....................11101......101111..........................................................1110010001001100010011...100011......................11111....10101......10010001...1100110110001000101....111101..............10011.11001...........................11011......11010010001010101.110001...............1001100101010111...	
cds-NP_414595.1           	0.300  	0.110  	0.040  	10010011101011.........1100100110001110001001100101..............10001100111001110100010101....10001001.....101001000101001010010001000111001....10001011...10010001.........10100111..............................100101.............101001001..110001...........100010101101001......101001...................1010010001......................................10001001........1000101011011................101110001...............11011..	
cds-NP_414596.1           	1.170  	0.045  	0.056  	10001..11001100011....1000100011101................................110001011........................100100100101......................110001011..........................10011.....101100011......10011000101..................................110111.11101...10001..........1110001011......1101011..................11111....110011010101001....110010001...........10101010010001.....................1010110001..1000110001011.....................10001001.....110001...............100010011..1010001110001011...10001................11010001100010011....1001001.....1000100011....10010101001111...........................11010001010001010001001...............11010101....110001.........10001001001001.1000101100111..........110101001110101010001001.......110001010101001000101....1100011.10001	
cds-NP_414597.1           	1.340  	0.151  	0.144  	101100110101011100011011101110011...................1110001011001...........1010001100101.....................1000100100111001011011101010001...........11111000101....10011011.....10001.................1000101101........100010011.......110001..............10001011.......	
cds-YP_009518734.1        	1.870  	0.032  	0.097  	10101....101101....11011....10101011001100100111.......10111011...........110001.......11001011001001............1011000100101010111....11000101......1010100011..10100111.................10001011........110001101011.	
cds-YP_009518735.1        	-1.420 	0.115  	0.096  	......11001111001...................111001100011....	
cds-NP_414600.1           	-0.730 	0.055  	0.096  	101001......111111...........................110010001.....100101....111101.......10001........110011.............11101...................101101...................10101101...1100011...........1110001101....1000101......	
cds-NP_414601.1           	0.420  	0.035  	0.095  	..10100011......101001101....10111...............100111...........10101001.....110110001......10100111000111......1100010010010101............................1010001.......111000101000100011100011......11111...10001110110010101011....................11110101.......10011000101111................10010010001............1010001001011....10010011........100010111.........10110011.........................110111........................100101.....10001010011..................11001.............10111011.......11111......1010011.....1000110001011.................1111001......101000111101.....110001001001.....10101.........11101100010010001.....1100110011011........10011001......10001....................10001........11010101101101..............................10101000101.............1100010111..................100111011111.......1010011....10111......10001010010001001.......110010001001101.......................10001001001001..................11001....10100101111...	
cds-NP_414602.1           	1.170  	0.033  	0.070  	.....1110001........10111......10101...............................101001....110111.....11010001....10110001.....1110011...1110001....110001.........10110101.......11110100100011111.........10101011.....110010011001...111010110101011..........................1000111......11100100100011010010100100011.........10010010001......1001010010110011..........................100100111................................11001111010011..1100111..1011001...........110011.........110011.............1000101110011011...........1000101.................10111.....................10001100100110001....100010101000110111.............10011.......1110010010001..10001000111011....100110001001100010001110001...10010001............................10111..............10100110001..100011.11000100110001011	
cds-NP_414603.1           	-0.250 	0.052  	0.113  	1100100011000101....110101001001.............101011....111101....................111001..10011..........................111001.10001....1000101....111001..............................10001110010110111001......10001100011...........	
cds-NP_414604.1           	2.070  	0.000  	0.102  	1011001011111....................11001.......10111.........10011....100010011111001....111001011...110100010001.10010101101.........10110001.....110001........100110001.......101101000100101.....10001010101001010011011001....10011001001101...................101010011....10010001001001001..1010011000101..........110110110001.....110010101.....11100011011.........110100101..................1100110100010111011001..........100011......................1100010100100100100101011........10001010011101..	
cds-NP_414605.1           	0.520  	0.011  	0.088  	101010101....10010101.....10001011......................110010001001100101.....110101.............................11111...........10011.....10100110011000111001101.............11011011........................110001001....11001..110001...1100010001.10011..1000101..........10101001........11011....10111..........1001100100011............10011011001101...........10001..........10001..........111011...........1001100101.....1110011.........11011....101001101001.....1110011011...........11010001100100010001......100010001.........1001100100101......................	
cds-NP_414606.1           	1.740  	0.041  	0.079  	............10100011001.......110111...101001110101.......................................11001111....11001101...................100110011........1001101011001110010010001...1000100010110001....101001000111....1001100010101101...................10010001010001110011001.......1000100010010101.	
cds-NP_414607.1           	3.090  	0.000  	0.406  	100110011....11011011110110010110111...1110010011....1011001100110111001101110101...1001011..................1101110011........11001101.10011...1101111.........................10111100011111001111011........10011..........11001011011111......111011001101	
cds-NP_414608.1           	1.730  	0.043  	0.155  	11010010111001.1010101..................110110011......101001...........10111....110010100010101...101001....10010001010011001...........10100111..................1000110110001....1011110001.................10100100011..............	
cds-NP_414609.1           	4.910  	0.000  	0.424  	.....................111010100110111......110110001110110101100110011011..111000110001...1011011010111.111011011011....110011001010101..101001110011101.1000111001001......100010100101101101.110001..1001111111001001101........1010110010101......110110111110111100010001.....11001......1000110011111011111..1101110010001.......11100110010101000111111011111..........11000110100111101..11100011111000101......11110001101.101011...1001000101110010100100101101001...1000101011101001011011.........1111001001......10011111111111011001........	
cds-NP_414610.1           	0.330  	0.021  	0.141  	110011.11111........11011010010001....1100010001010101101000101100101........1110100011................................1010110111...........10011.....10111.........10111110011...............101000100010111.....11101.........................110101...........1000110111...10001........100101...........................110010001..	
cds-NP_414611.1           	1.710  	0.018  	0.098  	.....100011011011........1001001101....10011001....11010001.......1011100101.............10011011.....1001110010001.....1101111..10011...........100011001001......100010001001..1010111...........1010011001001001.110010011....1010101........111001........1001001...................101001001101001100101111......................10001000111111...........100110111............100111......................100101011.......1100110011....1010100101001....1000111........101011001101.110011...............10100110011.......11001111.....1001010010110100011.....	
cds-YP_002791237.1        	2.600  	0.140  	0.000  	100110011.....111101101...1011001101.......	
cds-YP_025293.1           	5.850  	0.000  	0.584  	1111101000100110011110111010001....101110001....111011101001001010111............11111111010001110100011011010111001.......11010001.......111100110001010111...101110101010111010001101011110111..100101.....1010001....1011110001110100111101.111000101...100111..........11100111001....111101000111100111100010110101100111011001011110011.........11000100011100110001000100101111101101101110001001	
cds-NP_414613.1           	0.640  	0.030  	0.114  	100011.......................11001....100011001011..........11101.........................101001010111...100111000100011........10011011.....1010101...........101010010001110010010101..................	
cds-NP_414614.1           	-0.180 	0.097  	0.073  	1000110011000111.......111100011001......................10010001......10010010010100110010010101101...10011011..........10111..........10010101....10011............10101............111011...........110110001001010001011010101.............10110001.......10001011001.......1001101.................11010001..................101101.....10010100111001.......................100111..............10011100010101..1011101.........................................10001001001.	
cds-NP_414615.4           	1.820  	0.077  	0.047  	1000101011........11000101100100010101................................111001.....................10001011001....110010011.10001....101111001000111...........10001000110010100100101.................1100011100110010001..10100111.............1011110011001100010110001011...............................100110101110101......101000100010001................1001100110001	
cds-NP_414616.1           	2.200  	0.036  	0.099  	100011110001......10001010001010101001010110101.......10010010001....11010011000101....1010001010011....1010001000100110001111.....100010101.......100100110001............10101.10100110011001..10001101.....101010001001......10001001......10100111010100011010001..........11001101.......................................1010010101........1000100101....1010011001101......110101001011.........10101101...........101010001..........10011001001001010110101.........1001011001....10010100011......110110011....10001..............	
cds-NP_414617.1           	1.750  	0.214  	0.286  	1001101101111...............	
cds-NP_414618.4           	1.640  	0.061  	0.111  	..................1011010110110011..................100010010111000111010001......101100100010110001............1101111..1001100011001001...101110001..............11101001.........110001111...........1100011......101001001...11001.....101001011011011...........110001000101011..........11101...........1100011011..	
cds-YP_009518736.1        	-0.290 	1.000  	0.000  	......1101001.	
cds-YP_025294.2           	2.270  	0.017  	0.103  	........11100110001001101....1101100100100100111......1010001......101111.........100100011001.11110001000110100100101101...11000111........11000111........11101..................101001..........100010011.............100010001000100101.11101101001.......1011010001000101....111010101.......10011....110101....100010001........110011011........10010011001001...................11001101.....110001....1100111.............10010101...1010101.............1010100100010101.1111010001101100100111.......11001..110100010010101.....100010001001....11110101...............100111......	
cds-NP_414620.1           	2.060  	0.037  	0.141  	100110111......10011011....10100101.......100101001....110010001001101101001.....1000111101...............110001101...110101......10011001001001101................	
cds-NP_414622.1           	1.240  	0.036  	0.183  	101001001001......................10011011.........10001.......10111.......10010011........1011101........101100110001001110001.....11001......11010001....10011........110001001....1111001..101011....10001......101110001.......110011........11000101100110101.........101001....1101101...........1000110111001.........10010001100011...	
cds-NP_414623.1           	1.770  	0.092  	0.033  	.....................100011......11101011..11111....10110001001001..1000100111.........................10001111001001011....100010001.........1000100101	
cds-NP_414624.1           	0.200  	0.166  	0.032  	11001....111000100101....1110001.......111001...............1010001...........10010011....11001001110101...................10101...................10111001....1000100011.............10011.....10001.......10010111000100100010001011.....101101001000110011...........................10010011.........................	
cds-NP_414625.1           	1.070  	0.165  	0.149  	1100100010010001..........110001101001.111111111001011......................1010100111..................101001...........	
cds-NP_414626.1           	0.890  	0.077  	0.138  	..................110101011101111010111001011011..........100101001..............10101.10011...........1010001001000101.10010001.......11110001...1001100101.................10001101001....100100010011.............10011001..........10101000100111001000101........11101...............................10011........111100100011....11001........1001001001010011.....1010010101....1100100101.............................101010111..1010011001001011..101001.............11001101100101.....100010010101.............110011010001.......1011111.......110001...110011001100101.........................	
cds-NP_414627.1           	1.680  	0.012  	0.125  	.....10011...........1001010001.....111011.............100010011...........1001001.1111001000100100011......101101...........1100100110010011001000110011.........10100010011.....110101....1100010010100011001....1010001001............100011.....100011001...101010001...100011.............1010001....10001100101001110100110101.10011........11001011.......11101......10001....1010001111101..........110010001001011............1100110011..............101011.........................1010001010011011.	
cds-NP_414628.1           	1.020  	0.011  	0.104  	11010100100110001....101001..........111101...........................10101.........10100100110001...............10010001100100011....1000101.101101...10101101.......1010101......11001....1001001001......11001..............11010011.......................................10111.......10001....1010100010010001001001.............111000100010010001011001..101111001001......10101........1001101............10001.....110010111....110111.......10011001......	
cds-NP_414629.1           	5.390  	0.000  	0.503  	1111100011011001011011010011011001110111...11001001010011................1001111001110111101....1111111111010110110010011......11001011110110101010111.............110011..10111111011111.....1010001001011..111000101101....101001101........111110011000101111001...111001001010001011011100011111100111100101110100101..........1000101001....1110111101111110100101.	
cds-NP_414630.1           	1.180  	0.016  	0.098  	........1111010100101101110001...110001..................1000111000111...................10110010111..................10011001.....10101000101..11110001011110100101.....10010001101.........101001................................1101010100101...............110100101.....1000100101...........1001001001...10111......................10010100010111...........10011....101111....................10001011...............1001001001......10010001.	
cds-NP_414631.1           	4.420  	0.024  	0.432  	10101..........1011111000100111.........11110001111010100101111......10001............1111101110110101.10110010001110011111111110001.....110101101....100101111100111.....100010011..101111101111....10011111100101111....11011011010100111111...1010010011......10001010001101....1100010001001011......11101100010110111011111110100101....101000100110101011101001101.......................11110001111101010001...........	
cds-NP_414632.1           	0.480  	0.059  	0.014  	......................10100011000101011.....100011....10101101001....10011...1011001.....11001...111010011.....10010101.........10010001100100011001.............10001101.............101111.......110001..100010001011..........10001.........10011001000101001111....101001...................11001...............1010010001001.......................10001001...	
cds-NP_414633.1           	-0.380 	0.059  	0.102  	.....10010011..100100101101....10010011................10001101000111...........11110001......................11001101000101...........110011........1100011....10001......................11011001....1001000100100011011001.110001111...110011.................101001001...............10101...........................11001001......1011001............111001......10001...........11111..........110010011001001111011..............11001................10011.................1001000100101...........	
cds-NP_414634.1           	1.240  	0.023  	0.105  	100010111................11001..............101001001010011101.........1001101101......11000101001000111.................10001....100100101............1010011....100010101.....1110011....10101100011..........110100011...................100111001001010010010111...............................1010011101101..	
cds-NP_414635.1           	-0.420 	0.152  	0.087  	........................1001111101100111001111011.......100111...........10001101.....11000101100010001.11001010001...101011011..........................................110010010011.................1010100010101.....10010011011.............10110101............................	
cds-NP_414636.1           	2.960  	0.012  	0.157  	........1110101....100110011...1101101001.........100100110110001....11001010011101....1010001011...........10011.............11011...101010001...101001010001011010001000110010010101001110010001011......10111101....101011............10001100010101.........1010001010011.......................10011...1001101100011010001....10001000111......100100100011000101...101001001....11000101101...........100010001001100100110001	
cds-NP_414637.1           	1.300  	0.115  	0.123  	...........1101101.......10011000100101101...........100010100010001...................10001....11110001..........11001000101101011..................10010001001101....110110001011001.....1100010010011....1101010010011001010110001..................1100101.....11101000101010010010001001......1110001...1000101011000101.................11001..............10011.........................	
cds-NP_414638.1           	2.120  	0.023  	0.046  	......10011............10101............................10001110111....1010010010001001010011101..............1111110001001010001101000101...........100101010101...........10101....11001.....1011001011....1110001010111001011....101000110001100100111100011001001.....1000110011.....101101..................	
cds-NP_414639.2           	-1.080 	0.135  	0.059  	10011001001000111..111011000101.........................101001011..........101011....100110010101..................10110010011..........10101001..........................	
cds-NP_414640.1           	1.160  	0.067  	0.074  	1110110011.......10010011011001..................10001....110011.............1101001010110011100011001.......10001..11001....1011010011..........1101101010101...........1000101.....101011000101.....100010101100100111..................110010011...................................11110011100011...........11110010001....1100010111....................100010001..............1001010011011001001........10100110100111.....110001...........10011001.........11100101....110001....1000110001................1010001......11100010001001.......1001000101.......................10001..............1110100011011....1001100101.........110001...........1010001101001..............110100100010010001100010011....1001101..1000100010101.10011..........1000110001011.....110001100100011100100110001001011000101001.............10110011001010110010010101.................1001001...................................10010001.	
cds-NP_414641.1           	0.840  	0.062  	0.109  	10010101011.................1000101..............11001000101....10110010101....10111111001.............1101101...........11001001	
cds-NP_414643.1           	-0.090 	0.308  	0.077  	100010101..1000111001.....11000101101001.........................	
cds-NP_414644.1           	1.880  	0.049  	0.077  	1000111...1000100110101110010101........10110010011011....100011001......1001101.......10011001............10011....11011000101...110101..1011101........10011001..100010111011...........10011........1101010100011.........101011............10101011	
cds-NP_414645.1           	1.060  	0.034  	0.063  	10111010001......10001001010110001100011......1001000100011..........100011.......110011..................111111.11100011.....111101.....10001.........10011.........10100011........10001001000110100011.....	
cds-YP_009518737.1        	1.070  	1.000  	0.000  	11100101......	
cds-NP_414646.1           	1.620  	0.000  	0.081  	1010001010100111............101000101...........1100010010010100010010110010001010010011......1100111.....................10111101000100011011...........11000110001100111....110101....110001000101..1001101......100111..........10001.....11110011.................1111101.....10001001001......................110010001011.......................11001	
cds-NP_414648.1           	3.850  	0.018  	0.237  	.....1101001.................11110100011..10100101............1100100110001010001011........10011001000100010100011.10011..110011....100010011101.........10001000101.1111010111110110111..10011001......1000110100100010111111011101000111....111100011101.110011....1001101101.....1011001001000101.1110110010001.....11101........111011........10111001........10100010011...111100011001110111.11010001001.	
cds-NP_414649.1           	1.130  	0.043  	0.067  	.....1001110100111.....1101011......1100101.....101011.............................1100010001...............10101010011...........101000101100101..........10101....10101001.......11101100100010100101..1010010001..................1011001001....101101.....................10100110011.....1111001.................111001.....1001101001010011100010111000110011.............................110110011....11011....110011.................1001100011010001001001101101....	
cds-NP_414650.1           	2.260  	0.048  	0.130  	......101101111101101100101..10011....100110011.1000101101......................11001010001101.....10010111.........1001000101.....10001001101....	
cds-NP_414651.1           	0.760  	0.034  	0.077  	..............110010101...1000100010001.....100011................111000110011101....1011101.............................101100100100010011011................10001010111.......101000111..........10001...........101010010010001.....1111001....10001.......11010001............1011010010001001010101.	
cds-NP_414652.1           	1.600  	0.077  	0.027  	111000111....................111100101........1100110001......1100100101000111.....11011......10001001.....1001010101............100100100011011..10001000101...........1010010111.....	
cds-NP_414653.1           	4.830  	0.000  	0.317  	10110011111100110100010100010011001001010001010110101011110010011101..111111101111....101010011.............10001011001........110010001111010111..1111110001..1011010110010111001......100010011011011.10100111011.........11001001....101100100101.......................11111110110110011	
cds-NP_414654.1           	4.160  	0.024  	0.475  	..........10001....1011010001000111............111010100110111100100111...100010010101100100100010111111110100100100110111.....1100011111100101001011001011101101101101111001111.........10011.........10011111011110100101101..................11101111110010111011...........1111100100011000101111000101100111100011101...................10011100110011111011.....10111011100111010110100101........11001......1001111111001111111...10101111.111111010111...........	
cds-NP_414655.1           	0.180  	0.059  	0.091  	101001....100110001011110001...........1000101....10001001..............1100011001...11011................10010011001.........1001000101.............11010101......1111011011..11000100010111...............110011..............101100111.....................	
cds-NP_414656.1           	0.910  	0.028  	0.086  	10001...........110010011.........1110011...............10011001...........10100010001010011011......1010001001.....1101110011..........11110001...11000110001....10010001......................10101..1001100011011............11011.....................100111110101001.........110010011....1011011100010011.......1101100010001001......1100011001.....11001.................11001...........111000100101........1000100101001001000101...............................10011......1000101..10010011......100010110010111....100011.........1010011001011.........................1100010010001011...............111110110100100111..................................100101.........10101011100010011......11111001000101..........10001101001..............11001.....110001010001101001001......1001011.........110011..........1101100010011.....................10001010001111001001.....100011000100101..........	
